Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,3.873419571501236,7.7,1.2040172121631534,1.48,0,0
2025-04-01 01:00:00,0.0,4.539602525468751,7.7,0.5,1.33,0,0
2025-04-01 02:00:00,0.0,4.787073202737613,7.7,0.5,0.69,0.79,0
2025-04-01 03:00:00,0.0,4.157432105571948,7.7,0.5,0.0,1.56,0
2025-04-01 04:00:00,0.0,3.70344079521798,7.7,0.5,0.0,1.45,0
2025-04-01 05:00:00,0.0,3.523699103544904,7.7,0.5,0.0,1.63,0
2025-04-01 06:00:00,0.0,3.5527104286122646,7.7,0.5,0.0,1.48,0
2025-04-01 07:00:00,1.68,4.557788979002849,7.7,0.5,0.0,0.26,0
2025-04-01 08:00:00,3.25,3.80666849300639,7.7,0.647411653275179,0.0,0.26,1.34
2025-04-01 09:00:00,4.6,3.9934916533505023,7.7,3.8890030847307706,0.0,0.26,1.88
2025-04-01 10:00:00,5.63,3.754099300316167,7.7,6.383400349251793,0.0,0.26,0
2025-04-01 11:00:00,6.28,4.458411797119813,7.7,6.48900830611427,0.0,0.26,0
2025-04-01 12:00:00,6.5,4.229345099696534,7.7,6.07690199679314,0.0,0.26,0
2025-04-01 13:00:00,6.28,4.073920603813857,7.7,4.290661205341933,2.0,0.8,0
2025-04-01 14:00:00,5.63,4.1339698115297185,7.7,6.36350537445266,0.0,0.8,0
2025-04-01 15:00:00,4.6,3.767488002546589,7.7,6.410160981112757,0.0,0.8,0
2025-04-01 16:00:00,3.25,4.031474642113224,7.7,6.447947566148195,0.0,0.8,0
2025-04-01 17:00:00,1.68,3.778838347084796,7.7,6.109196115487305,0.0,0.8,0
2025-04-01 18:00:00,0.0,4.025288041958454,7.7,4.449660080299818,2.0,7.47,0
2025-04-01 19:00:00,0.0,4.95704384522752,7.7,2.4340092512565326,2.0,7.56,0
2025-04-01 20:00:00,0.0,3.680726507069809,7.7,0.5,2.0,7.24,0
2025-04-01 21:00:00,0.0,4.909174648258826,7.7,0.5,1.0,8.2,0
2025-04-01 22:00:00,0.0,4.012569265040842,7.7,0.5,0.0,1.48,0
2025-04-01 23:00:00,0.0,3.816315433788981,7.7,0.5,0.0,1.23,0
